reason,source,nft_id,original_name,metadata_urls
leading-underscore,namesdao,nft1uwdhmc0rt84u5653vej0z8va3v6rm9sj8nlk97pal4ys486efrpqfuaxkw,___chiaverse,https://storage1.xchstorage.cyou/namesdao/___chiaverse-4051376.json|ipfs://bafyreibn4mfeimcc7vohx4keimwml6l6y7trzs3gzpvepjhi2myr7zsfp4/metadata.json
leading-underscore,namesdao,nft1uwm67trgwyacvflghpdwm72rzmuddm6s0zpr4xw9rcs2mwhap7aq4yme5g,__33033,https://storage1.xchstorage.cyou/namesdao/__33033-5638548.json|https://storage2.xchstorage.cyou/namesdao/__33033-5638548.json|ipfs://bafyreiflut62rpsywbv5lpfeudtfgqvw27xym4edfay6t5dkc7oyoe6blm/metadata.json
leading-underscore,namesdao,nft1ux3atp8w8v2suc95tanng37gjn8ghx9wrtfqr9j7xzh7w9twv0rq55szgv,_pension,https://storage1.xchstorage.cyou/namesdao/_pension-4103419.json|https://storage2.xchstorage.cyou/namesdao/_pension-4103419.json|ipfs://bafyreihux7cx6jjzrgbijblyazlc3r32dtb6uyqviq6yspnffx2f2k7plu/metadata.json
leading-underscore,namesdao,nft1ux3lgaysj9ptkec42378tdwxc9qgqzadc7636fum9gfg50e3tcuq3qzreq,___miracle,https://storage1.xchstorage.cyou/namesdao/___miracle-4099978.json|https://storage2.xchstorage.cyou/namesdao/___miracle-4099978.json|ipfs://bafyreif7eu4fz2kuelows3zhosbos5us2b6ioi4zb2md7pcczguxmhut5a/metadata.json
leading-underscore,namesdao,nft1uxfj6s7xk946ldtnxp9ujhknzxyjadl0xg3ytqc64sjmkkeqw0xsws4zaa,_venus,https://storage1.xchstorage.cyou/namesdao/_venus-4508051.json|https://storage2.xchstorage.cyou/namesdao/_venus-4508051.json|ipfs://bafyreibvcamdtuciixeilxd5vwh2szppsclf3qj6t2cl2rghp5qywmhl3e/metadata.json
leading-underscore,namesdao,nft1uxjp7970cstvh5qqd926nyqhjv7wzqu8ph4qle6kc5xyv8f88kjs6a0ptm,___dunshea,https://storage1.xchstorage.cyou/namesdao/___dunshea-4475966.json|https://storage2.xchstorage.cyou/namesdao/___dunshea-4475966.json|ipfs://bafyreihcg6wzvle2zoeokdfvdy337csyykh2gbidhcuehvszmpcpg57qhi/metadata.json
leading-underscore,namesdao,nft1uxlh9cz90wl3ct9347ky4tdylx9at726jltlcvgzrkljakg3h6hqm0rvm6,___p4rre,https://storage1.xchstorage.cyou/namesdao/___p4rre-4631297.json|https://storage2.xchstorage.cyou/namesdao/___p4rre-4631297.json|ipfs://bafyreiaigsodx6slkfxykvv4a4fazti4d4f2ceh3gyxyp4j7qvk4t4fpeq/metadata.json
leading-underscore,namesdao,nft1uxn8seyc38z0n48sswgp75p2rlh6qqp5df48rg6h3rmptwhjufkq4ehwgf,___chia000,https://storage1.xchstorage.cyou/namesdao/___chia000-4204905.json|https://storage2.xchstorage.cyou/namesdao/___chia000-4204905.json|ipfs://bafyreicni5rpcyh4xzs5gmftu34vydvsjik33n2qyqxdbdyr2jqwczld5q/metadata.json
leading-underscore,namesdao,nft1uxysfgtz6u8hk6dtcmac3sn3xvlks2wuxq5d30zptxpskx00dndszs030q,_investor,https://storage1.xchstorage.cyou/namesdao/_investor-4095568.json|https://storage2.xchstorage.cyou/namesdao/_investor-4095568.json|ipfs://bafyreiabt6hdi4nevdjv7wkayxueec5jdmmxbc42nmjzle6jxeawinzeum/metadata.json
leading-underscore,namesdao,nft1uxzp34ptut98fxdz5rg7ej5wkjp4wuxsuh8qc7q42u25gw69x6psnmz60z,_xchboyz,https://storage1.xchstorage.cyou/namesdao/_xchboyz-4327614.json|https://storage2.xchstorage.cyou/namesdao/_xchboyz-4327614.json|ipfs://bafyreiehmucztni5d3bvbmzeyugkmxdtjel53ocnkad5kim5d2qqls5e7u/metadata.json
